38
0 0
42228 110736
42623 110209
43118 109578
43032 110776
43114 111392
43843 111578
44767 110344
45401 108406
45997 107140
45200 106684
44722 106402
44753 107478
43527 109042
42209 109760
41872 109782
41682 109320
41861 108088
43043 107014
43857 106376
46657 106046
46336 105144
48428 106796
48924 106018
47542 104970
46819 104048
47532 102210
48490 100796
49345 101278
49758 101814
50758 101800
50278 102336
50739 102994
49739 102938
48968 103878
51511 103352
51539 104440
49596 106230
0 0 0 0
2 4 14 15
1 3 4 14
2 4 13 14
1 2 3 5
4 6 0 0
5 7 0 0
6 8 0 0
7 9 12 0
8 10 20 0
9 11 0 0
10 12 19 0
8 11 13 19
3 12 0 0
1 2 3 15
1 14 16 0
15 17 0 0
16 18 0 0
17 19 0 0
11 12 18 0
9 21 22 24
20 25 0 0
20 23 0 0
22 24 37 0
20 23 25 34
21 24 26 0
25 27 0 0
26 28 0 0
27 29 0 0
28 30 31 33
29 31 32 35
29 30 32 33
30 31 33 35
29 31 32 34
24 33 0 0
30 32 36 0
35 37 0 0
23 36 0 0
