39
0 0
55057 97460
54644 98036
55466 98048
55542 97000
54646 97070
54150 96686
53976 95206
55206 91948
57124 94990
55847 96610
55628 98628
56352 99302
57901 98468
59365 97874
59757 97178
58332 93560
59187 92050
58121 92122
56464 89186
57838 87652
59115 89676
59673 90866
60200 91658
61863 94114
63098 92184
61240 89138
60444 88602
59151 86040
61251 84750
62047 85668
62480 85998
62238 87262
62539 86932
62933 86446
63380 85896
63323 86946
64053 87930
64336 89846
0 0 0 0
2 3 4 5
1 3 5 6
1 2 4 11
1 3 5 10
1 2 4 6
2 5 7 0
6 8 0 0
6 9 19 0
8 10 13 16
4 9 0 0
3 12 0 0
11 13 0 0
9 12 14 0
13 15 0 0
14 16 24 0
9 15 17 18
16 18 22 23
16 17 19 0
8 18 20 0
19 21 28 0
20 22 0 0
17 21 23 26
22 24 0 0
15 23 25 0
24 26 38 0
22 25 27 32
26 28 0 0
20 27 29 0
28 30 0 0
29 31 0 0
30 33 34 35
26 33 0 0
31 32 34 36
31 33 35 36
31 34 36 0
33 34 35 37
36 38 0 0
25 37 0 0
