51
0 0
55023 97460
54621 98040
54580 97034
55560 96956
55485 98058
55618 98674
56944 99360
57652 98776
58348 99798
59312 98080
59144 96070
58537 95384
58296 94130
58064 93440
56862 95042
58167 92714
56623 90556
56508 89358
55620 88668
54578 90570
53981 93642
58256 91610
58745 90614
60292 93494
59293 94096
60839 92040
60714 89826
60477 89432
59149 87488
59506 86194
61188 84862
62031 85704
62494 86012
63346 86014
63343 87050
62522 86960
62928 86432
62258 87240
61490 88820
61493 91064
61770 92334
62850 94284
63441 94756
64507 92742
64328 91572
63742 91330
63767 90012
64388 88796
64088 87892
54104 96734
0 0 0 0
2 3 4 5
1 3 5 50
1 2 4 50
1 3 5 15
1 2 4 6
5 7 0 0
6 8 0 0
7 9 0 0
8 10 0 0
9 11 0 0
10 12 0 0
11 13 0 0
12 14 15 25
13 15 16 0
4 13 14 0
14 17 22 0
16 18 0 0
17 19 0 0
18 20 0 0
19 21 0 0
20 50 0 0
16 23 0 0
22 24 28 0
23 25 26 0
13 24 0 0
24 27 0 0
26 28 39 40
23 27 29 39
28 30 0 0
29 31 0 0
30 32 0 0
31 33 0 0
32 34 36 37
33 35 37 0
34 36 37 49
33 35 37 38
33 34 35 36
36 39 0 0
27 28 38 0
27 41 0 0
40 42 0 0
41 43 0 0
42 44 0 0
43 45 0 0
44 46 0 0
45 47 0 0
46 48 0 0
47 49 0 0
35 48 0 0
2 3 21 0
