885
69620 101870
69085 103258
68900 103550
67844 104858
67840 104448
48875 127128
50176 126532
49980 126400
51184 124374
50944 124416
380
39900 113828
40163 113194
40192 112640
41429 111460
41216 111616
39608 113890
54009 97828
53617 99098
52992 99328
50975 101396
50944 100864
53497 97626
878
69698 101906
69055 103266
68864 103424
68121 105158
68096 104448
48958 127238
50234 126716
50176 125952
51334 124590
50944 124416
346
68156 101522
67940 102320
67584 102400
66516 104836
66560 104448
54901 131478
54995 130122
54528 129536
53579 127326
53504 127488
383
65619 82788
65147 83552
64768 83456
63664 85642
64000 84480
65456 83342
52778 100804
53134 100336
53248 99328
54586 98204
54516 98916
52144 101004
386
47246 99452
47728 99598
48000 98816
47667 95440
47872 95744
46826 99610
46529 73174
46034 73574
45824 73728
46678 76740
46336 75776
47415 72602
870
48361 133930
49480 133262
49664 132608
51284 130878
50944 131072
69156 104806
68032 105644
67584 105984
66834 108358
66816 107520
352
50604 83156
50379 83802
49920 83968
49138 85144
49408 84480
38813 102200
38689 101510
38656 100864
39626 99700
39424 99840
881
56954 128674
57618 127426
57856 126464
58800 125314
58368 125440
76835 106786
75290 107656
74752 108032
73698 110168
73728 109568
580
50085 107268
49784 106630
50237 105876
50237 105876
49951 106266
581
50085 107268
49784 106630
50237 105876
50237 105876
49951 106266
221
49945 103636
50351 103902
50583 104182
50583 104182
50351 103902
61049 114328
60187 113728
59973 113432
59973 113432
60187 113728
904
65201 82666
65139 83496
64768 83968
63664 85640
64768 83968
65505 83418
52444 100768
53129 100234
53248 99328
54541 98242
53248 99328
52291 101318
0
